kindNum,neuterYn,sexCd,weight,noticeDays,age2,processState
128,N,F,7.46,10,12,0
114,N,M,7,14,1,1
114,U,M,4.5,11,2,0
67,N,M,10,8,1,0
114,N,M,6,8,4,0
35,N,M,25,11,3,0
108,U,F,10,11,4,1
100,U,F,4.3,20,1,1
128,U,F,4,20,1,1
114,N,M,3.8,11,1,0
114,N,M,3.5,11,1,0
114,N,M,3.3,11,1,0
114,U,F,20,11,2,1
89,U,F,6.8,12,2,1
128,N,M,5.3,12,6,1
114,N,F,6.3,10,1,1
114,N,F,7.7,10,1,0
114,U,F,4,10,5,0
114,U,M,13,10,2,0
114,N,M,1,10,1,0
114,N,F,1,10,1,0
114,N,F,1,10,1,0
114,U,F,11,10,3,0
114,N,M,4.3,10,1,0
114,N,F,4.4,10,1,0
114,N,M,3.8,10,1,1
114,N,M,1.6,10,1,1
114,N,F,1.5,10,1,0
114,N,M,20,10,3,0
114,N,F,13,10,1,0
84,U,F,26,10,2,1
114,N,F,1.5,10,1,0
114,N,M,1,10,1,1
69,U,M,28,10,4,0
114,N,M,3,10,1,0
114,N,F,3.3,10,1,0
114,N,M,2.8,10,1,0
114,N,F,1.2,10,1,0
114,N,F,2,10,1,0
114,N,M,2,10,1,0
114,U,M,16,10,2,0
114,U,M,11,10,1,0
114,N,F,3,7,1,1
114,N,M,3,7,1,0
114,N,M,3,7,1,1
114,N,M,3,7,1,1
114,N,M,3,7,1,0
114,N,M,3,7,1,0
114,N,F,1,7,1,1
114,N,F,1,7,1,1
114,N,F,3,7,1,1
114,N,F,8,7,2,1
114,N,M,8,7,2,0
114,N,M,8,7,2,0
41,N,F,1,10,1,1
114,U,M,1.5,10,1,0
114,U,F,1.5,10,1,0
114,U,F,1.5,10,1,0
114,U,F,11,10,4,1
69,U,M,28,10,6,0
67,N,M,19.8,10,3,1
38,U,F,5,10,6,1
114,U,M,5,10,1,1
114,N,M,5,10,11,0
114,N,M,3,8,1,0
114,N,M,10,8,4,0
114,N,M,7.4,10,3,0
114,N,F,5,10,3,1
114,N,M,20,10,3,0
123,U,M,7,10,6,0
128,U,F,3,10,2,1
114,U,F,7.5,10,1,0
114,U,F,6,10,7,0
67,N,M,14,10,7,0
67,U,F,15,10,7,0
114,N,F,1.2,10,1,1
