kindCd
54
56
55
118
115
37
81
204
83
82
38
39
40
43
42
153
41
120
155
69
71
142
93
167
70
166
94
121
152
73
146
72
159
76
75
79
78
77
74
80
114
133
12
17
15
164
157
148
16
20
21
22
24
208
23
26
27
169
25
19
13
18
14
162
85
96
95
1
34
104
31
99
122
123
97
132
105
154
124
100
103
151
139
101
102
98
136
202
160
203
8
131
9
119
150
210
57
58
59
6
4
7
5
143
11
10
137
84
163
112
113
149
211
110
205
108
109
60
46
47
44
45
53
62
61
52
165
51
156
129
67
35
33
32
158
144
30
29
64
207
28
2
68
125
141
145
36
66
65
63
140
107
106
209
86
88
90
87
138
89
126
127
128
91
3
161
50
168
49
147
92
48
135
206
130
134
111
