neuterYn,sexCd,weight,noticeDays,age2,processState
N,F,17,10,3,0
N,F,17,10,2,1
U,F,2.5,10,0,1
U,F,3,10,0,0
U,F,9,10,5,0
U,M,18,10,2,0
U,M,8,10,2,1
U,F,2,10,0,1
U,F,2,10,0,0
U,F,8,10,3,0
N,F,20,10,3,1
U,M,4,10,1,0
U,M,7,10,5,0
U,M,10,10,6,0
U,F,9,10,4,0
U,F,12,10,4,0
N,M,22.5,10,3,1
N,M,5.2,10,0,1
N,M,4.8,10,0,1
U,M,12,11,1,1
N,M,2,10,1,0
N,F,4,10,1,0
N,M,3,10,1,0
N,F,4,10,8,0
N,M,14,10,6,0
N,F,6,10,0,1
N,F,18,10,3,1
N,F,4,10,0,1
U,F,0.84,10,0,0
U,F,1.04,10,0,0
U,F,5.2,10,8,0
U,F,4.4,10,2,0
Y,M,17,10,5,0
U,F,10,10,1,0
U,F,17.8,10,3,0
U,F,8.5,10,0,0
N,M,17,10,3,0
N,F,5,10,10,0
N,M,18,10,2,0
N,M,3.7,10,0,1
N,M,5.1,10,0,0
N,M,5.7,10,4,0
U,M,14,10,2,0
U,F,25,10,3,0
N,M,15,10,1,1
U,Q,12,10,1,0
N,M,30,10,1,0
N,F,4,10,0,1
N,M,4,10,5,0
N,F,3.12,10,0,0
N,F,2.95,10,0,0
U,F,3.12,10,0,0
N,M,3.2,10,0,0
N,M,3.25,10,0,0
N,M,1.5,10,4,0
N,F,10,10,1,0
U,M,2,10,0,1
U,M,4,10,0,1
U,M,4,10,0,1
N,M,0.8,10,0,1
N,M,15.8,10,1,0
N,M,6.9,10,3,0
U,F,3.2,10,0,1
N,M,32,10,6,0
N,M,7.2,10,1,1
N,Q,6,11,0,0
U,M,10,11,4,0
N,M,4.1,11,3,1
N,F,2.8,11,0,0
N,F,3.5,11,0,0
N,F,11,11,2,0
U,F,5,11,0,0
U,F,10,11,1,1
N,M,3,11,0,1
U,F,7,11,0,1
U,F,5,11,0,0
N,M,5,11,6,0
N,M,35,11,2,0
N,F,2.8,11,0,1
N,F,8.1,9,4,1
N,M,15.2,9,4,1
N,F,1,9,0,1
N,F,1.4,9,0,1
N,F,1.5,9,0,1
N,M,20,9,4,1
N,F,25,9,4,1
N,F,7,11,4,1
U,M,5,11,0,1
U,M,5,11,0,1
N,F,7.3,11,7,0
N,M,5,11,4,1
N,F,15,10,2,0
N,M,2.5,10,0,1
N,M,3,10,0,1
N,F,1,10,0,0
N,F,1.5,10,0,1
U,F,20,7,4,0
N,M,2,11,0,1
N,F,2,11,0,0
N,M,2,11,0,0
U,F,14,11,2,1
N,M,30,11,1,1
N,M,20,11,2,1
N,M,2.7,12,0,0
N,F,3,11,0,1
N,F,2.6,11,0,1
N,M,2.9,11,0,1
N,M,2.7,11,0,1
U,F,6.5,11,3,1
N,M,20,11,1,1
N,F,3,11,0,1
N,F,3,11,0,1
N,F,2.1,11,7,1
N,F,5.2,11,7,1
N,F,4.3,11,0,1
N,F,2.2,11,0,1
N,F,1.3,11,0,1
U,F,2.8,11,5,1
N,M,5.8,7,0,0
N,F,3.5,7,0,1
N,M,1.22,11,0,1
U,F,10,11,0,1
N,M,8,11,0,1
N,M,2.8,11,0,1
N,M,15,11,1,1
N,M,8,11,1,1
N,M,12.83,12,4,0
U,F,3,7,2,0
N,F,5,7,1,1
N,M,5,7,1,0
N,F,7,7,1,0
Y,M,2.4,7,6,1
N,F,13.25,10,4,0
N,F,1.1,10,0,1
N,M,3,10,0,0
N,M,1.9,10,0,0
N,F,18.4,10,4,0
U,F,6,10,3,0
N,M,35,10,2,1
U,M,6,10,2,0
N,M,14,20,1,0
N,F,8.2,11,0,1
N,F,7.6,11,0,1
N,M,11,11,1,0
N,F,8.5,11,1,1
N,F,6.5,11,0,1
N,F,10,11,0,0
N,F,5.4,11,2,1
N,M,19,11,1,0
N,M,22,11,3,0
N,F,0.8,11,0,1
U,F,4.4,11,1,1
N,M,10,11,0,0
N,M,10,11,1,0
N,M,15,11,2,0
U,F,22,11,3,1
U,F,5,11,2,0
U,F,2,11,0,1
U,M,2,11,0,1
U,M,3,11,0,1
U,M,13,11,6,0
U,F,9,11,1,0
U,F,2.7,11,3,1
N,F,15,11,2,1
N,M,4.1,7,0,0
N,F,5.2,7,3,0
N,F,1,7,0,0
N,F,0.6,7,0,0
Y,M,10,11,3,1
N,M,20,11,2,1
N,F,3,11,3,1
N,F,4,11,3,1
N,F,2.5,11,0,1
N,M,2.5,11,0,1
Y,M,4,11,2,1
U,Q,0.4,11,0,0
U,F,5.9,11,2,0
U,F,5.5,11,1,0
U,F,5.9,11,0,0
N,M,17,11,2,0
U,F,11.7,11,1,0
U,F,28,11,1,1
N,M,30,11,1,0
U,F,5.3,11,0,0
N,M,0.62,7,0,1
U,F,15,11,1,1
N,F,2.45,11,0,1
N,M,2.5,11,0,1
N,F,8,11,1,1
Y,M,8.3,11,1,0
U,F,16,11,1,0
N,M,6.1,11,2,0
Y,M,5,11,3,0
N,M,3.26,11,0,1
U,M,7,12,2,0
U,F,3,12,0,0
U,M,3,12,0,0
N,M,8.5,12,2,0
N,M,20,7,3,1
N,F,3,12,0,1
N,F,3,12,0,1
N,F,3,12,0,1
N,M,3,12,0,1
N,M,3,12,0,1
N,M,3,12,0,1
U,F,20,12,0,0
N,F,2,12,3,0
N,F,4,12,0,1
N,F,3.5,12,0,1
N,F,4.5,12,0,1
N,M,5,12,3,0
N,M,3,20,0,1
N,M,6,20,2,1
N,F,6,14,1,1
N,F,40,14,2,0
N,F,28,14,3,1
N,M,7,14,2,1
N,F,5.5,12,2,1
U,M,11,12,2,0
N,M,15,12,2,0
N,M,0.6,9,0,1
N,M,0.6,9,0,1
U,M,1,7,0,1
U,F,1,7,0,1
U,F,3,7,1,0
Y,M,4.8,12,2,1
U,F,2.7,12,5,1
N,F,5,12,5,1
Y,M,6,12,1,1
U,F,5.2,12,0,1
N,M,3,10,0,1
U,Q,1,12,0,1
U,Q,1,12,0,1
U,Q,1,12,0,1
U,Q,1,12,0,1
U,F,1,12,0,1
U,M,1,12,0,1
U,F,4,12,2,1
U,F,15,12,2,1
N,F,2.66,9,0,0
N,F,2.65,9,0,0
N,M,2.78,9,0,0
N,M,2.77,9,0,0
N,M,2.76,9,0,0
N,F,3.63,9,0,0
N,M,3.68,9,0,0
N,M,8.9,12,5,1
N,M,3.2,12,0,0
N,M,9.2,12,1,0
N,F,4.9,12,8,1
U,F,6.3,12,3,1
N,F,3.5,12,0,1
Y,M,3.86,12,12,0
N,F,1.5,12,0,1
Y,M,9,12,4,0
N,M,3.26,12,3,1
N,M,4.4,10,5,1
N,M,5,12,3,1
N,M,5,12,3,1
N,M,3,12,3,1
N,M,14.2,12,3,0
N,M,3,12,2,1
N,F,1.5,12,0,1
N,F,4,10,3,1
N,F,4,7,0,0
N,F,4,7,0,0
N,M,4,7,0,0
N,F,4,7,0,0
N,F,15,10,3,0
U,F,8,11,6,0
N,F,10,10,1,0
N,F,2.84,10,0,1
N,F,4.4,10,1,0
U,F,4.8,7,2,0
N,M,2,11,2,1
U,F,6,11,3,0
U,F,17,11,3,1
N,M,7.5,7,4,0
N,F,15,11,5,1
U,F,1.4,11,3,1
U,F,1.9,11,0,0
N,M,4.53,11,0,0
N,M,11.5,11,3,0
U,M,5,11,4,0
N,M,5.5,11,8,0
N,M,4.5,11,2,1
N,F,3,12,0,0
N,F,23,12,2,0
N,F,3.8,12,2,1
N,F,14.7,12,1,0
N,F,18,12,2,0
N,M,15.7,12,1,0
N,F,5,12,3,1
N,F,3,12,0,1
N,M,7,12,2,0
N,F,15,12,2,1
N,F,7,12,2,0
U,F,12,12,6,1
U,M,4,12,0,1
U,F,12,12,4,1
U,M,5,12,3,0
U,M,3,12,0,0
N,F,5,12,0,1
N,M,7.2,12,4,1
N,F,5,12,0,0
U,F,1.6,12,0,0
N,M,1.7,12,0,0
U,F,0.7,12,0,0
U,F,1.9,12,0,0
N,M,1.7,12,0,0
N,M,1.7,12,0,0
U,F,12.8,12,3,0
U,F,20,12,2,1
U,F,1,12,0,0
N,M,14,12,1,0
U,M,11,9,2,0
U,F,3.5,9,7,1
N,F,6.58,9,2,0
N,M,12.85,9,1,0
N,M,4.5,12,0,0
U,F,4.4,12,1,0
N,M,7.2,12,2,0
N,M,7.9,12,6,0
N,M,6.8,12,3,0
U,F,5.8,12,0,0
N,M,8.2,12,4,0
N,M,7.5,12,2,0
U,F,2,12,0,0
U,F,1.3,12,0,0
U,F,2,12,0,0
U,F,1.8,12,0,0
N,M,7.1,12,1,0
U,F,3.7,12,2,0
U,F,6.5,12,8,0
N,M,4.3,12,1,0
U,F,6.5,12,3,0
N,M,20,12,1,0
U,F,19,12,6,0
N,M,6.8,7,2,1
U,F,15,12,8,0
U,F,15,12,4,0
N,M,2.6,12,8,0
N,M,4.5,12,3,0
N,M,3.8,12,5,1
N,F,4.7,12,0,1
N,M,3.6,12,2,0
N,M,5,12,3,1
U,F,5.7,12,10,0
U,M,4,10,0,0
U,F,7,10,4,1
U,F,7,10,4,1
U,F,5,10,2,1
U,M,7,10,3,1
U,F,5,10,3,1
U,F,5,10,3,0
U,F,15,10,5,0
U,M,15,10,6,1
U,F,4,10,3,1
U,M,20,10,1,0
N,M,5.5,10,1,1
N,M,5.5,10,1,1
N,F,5,7,0,1
N,M,1,20,0,1
N,M,1,20,0,1
N,M,1,20,0,1
N,M,1,20,0,1
N,M,1,20,0,1
N,F,5,20,2,1
N,M,5,20,5,1
N,F,8,9,0,0
N,F,5,10,0,0
N,F,5,10,0,0
U,M,15,10,1,0
N,F,2.5,10,5,0
N,F,4.5,10,3,0
N,M,3.1,10,3,1
N,M,5,9,1,0
U,F,5,9,1,0
N,M,3,9,3,1
N,M,15,9,1,0
U,F,5,9,0,0
U,M,4,10,1,0
N,M,1,10,0,0
N,M,1,10,0,0
N,M,1,10,0,0
N,F,0.8,9,0,1
N,F,1,9,0,1
N,M,0.7,9,0,1
N,M,0.7,9,0,1
N,M,0.9,9,0,1
U,F,0.8,9,0,1
U,M,0.8,9,0,1
U,M,15,7,2,0
U,M,20,7,1,0
N,F,1.5,7,0,1
N,F,5,10,4,1
U,F,6,10,5,0
U,M,7,10,7,0
U,F,6,10,5,0
U,M,10,10,4,0
N,F,5,10,3,0
N,F,4,10,1,0
N,F,7,10,2,0
U,Q,0.5,9,0,0
N,Q,0.5,9,0,0
N,Q,0.5,9,0,0
N,Q,0.5,9,0,0
N,M,4,10,2,1
U,M,7,10,3,1
U,M,8,10,3,0
N,M,9,10,3,1
N,M,6,10,4,0
U,F,6,10,1,0
U,M,25,9,3,0
N,M,4,10,3,1
N,F,2,10,0,1
N,M,2,10,0,1
Y,M,6,10,5,1
N,M,6.5,10,0,0
N,M,6,10,5,1
U,F,15.82,9,1,1
U,M,3,10,1,1
U,F,0.5,10,0,1
U,F,0.5,10,0,0
U,F,0.5,10,0,1
U,M,0.5,10,0,1
U,M,1,10,0,1
U,F,1,10,0,0
N,M,5,10,3,1
N,M,15,10,4,1
N,F,3.2,10,0,1
N,F,16.4,10,9,0
N,F,8,10,0,0
N,M,8,10,0,0
N,F,7,10,0,0
N,F,15,10,1,0
N,M,4.5,10,0,1
U,F,3,13,8,1
U,F,2.6,13,10,1
U,F,3.2,13,10,1
N,M,4.6,13,0,0
N,F,4.4,13,0,0
U,F,4.8,10,5,1
N,F,13,10,2,0
N,M,12,10,2,0
N,F,10,10,2,0
N,F,8.5,10,1,0
N,M,8.3,10,1,0
N,F,4.3,10,3,0
N,M,5.6,10,5,0
N,F,8,10,1,0
N,F,7.2,10,1,0
N,M,8,10,1,0
N,F,0.3,10,0,1
N,F,0.3,10,0,1
N,M,0.3,10,0,1
U,M,0.3,10,0,1
N,M,0.3,10,0,1
N,F,11,10,5,1
N,M,7.3,10,2,1
N,M,6.1,10,5,1
Y,M,15,13,5,0
Y,M,20,10,4,0
U,F,5,10,8,1
Y,M,5.2,10,1,1
N,F,2,10,1,1
U,M,30,10,2,1
N,M,5.5,10,6,0
U,M,7,10,2,0
U,F,8.7,10,1,1
U,F,6.5,10,1,1
N,M,1,10,0,1
N,M,2.5,10,0,0
N,M,1.5,10,0,1
Y,M,7.4,20,1,1
N,F,8,10,2,0
U,M,5,7,2,0
U,M,30,10,0,1
N,F,5,14,0,0
N,M,5,14,0,0
N,F,5,14,0,0
N,M,2,10,0,0
N,M,3.8,10,0,0
U,M,2.8,10,0,0
U,F,2.7,10,0,0
N,M,10,10,2,0
N,F,5,10,0,0
N,M,10,10,0,0
N,F,2.1,10,0,1
N,M,15,10,0,0
N,F,30,10,3,1
U,F,8,11,2,0
N,M,2,11,0,1
N,M,18,11,1,1
N,F,5,12,0,0
N,F,5,12,0,0
N,F,5,12,0,0
N,M,5,12,0,0
N,M,5,12,3,0
U,M,6,12,0,0
U,M,10,12,2,0
U,M,8,12,2,0
U,M,10,12,2,0
U,M,10,12,2,1
U,M,10,12,2,0
N,M,17,12,1,1
N,F,15,12,1,1
N,M,12,8,2,0
N,M,7,8,1,0
N,M,10,12,2,1
Y,M,7,12,1,1
U,F,14,12,3,0
N,M,25,10,1,1
N,M,6.5,10,0,0
N,M,6.1,10,0,0
N,F,5.7,10,0,0
N,F,5.9,10,0,0
N,F,6,10,0,0
N,F,6.9,10,0,0
N,F,2.3,10,0,0
N,F,2.5,10,0,0
N,F,3.4,10,0,0
N,M,3.1,10,0,0
N,M,9.5,10,0,1
N,F,1.6,10,0,0
N,M,1.9,10,0,1
N,F,2.9,10,0,0
N,M,14,10,5,0
N,F,3.4,10,0,0
N,M,1.8,10,0,0
N,F,1.8,10,0,0
N,F,1.8,10,0,0
N,F,1.8,10,0,0
N,M,1.8,10,0,0
N,M,2.1,10,0,0
N,M,12,10,1,0
N,F,2.5,10,0,0
N,F,2.6,10,0,0
N,M,2,10,0,0
N,M,2.7,10,0,0
N,M,2.1,10,0,0
N,M,15.3,10,1,0
N,M,8.2,10,2,0
N,M,13,10,2,0
N,M,16.5,10,4,0
N,M,5,10,0,0
N,M,5,10,0,0
N,M,5,10,1,1
U,F,4,10,0,0
U,F,15,10,2,0
U,M,10,10,2,0
U,F,10,10,2,0
U,M,1,10,6,0
U,M,3,10,5,0
N,F,15,10,6,0
N,M,0.5,10,0,1
N,F,0.5,10,0,1
N,F,0.5,10,0,1
N,F,0.5,10,0,1
N,F,18,10,3,1
U,M,3,10,0,1
Y,M,5,10,3,0
U,F,3,10,1,0
U,Q,1,10,0,0
U,Q,1,10,0,0
U,Q,1,10,0,0
N,M,10.1,10,5,0
N,F,25,10,3,0
U,F,20,10,2,0
N,M,18,10,3,0
N,M,20,7,20,0
Y,M,4.2,7,0,1
N,M,0.5,10,0,1
N,M,0.5,10,0,1
N,M,0.4,10,0,1
N,F,0.5,10,0,1
U,M,10,10,3,1
U,F,14,10,4,0
U,F,6,10,6,1
Y,M,5.5,10,7,0
U,F,2.3,10,0,1
N,M,4.6,10,6,1
N,F,1,10,0,1
N,F,1,10,0,1
N,M,7,10,2,1
Y,M,7,10,2,1
N,M,8.3,10,1,0
U,F,4,10,5,1
N,M,4,10,0,1
U,M,17,10,7,0
U,F,5,10,4,0
U,F,2.2,10,5,1
U,M,15,10,5,0
N,M,12,10,2,0
N,M,2,10,0,0
U,F,2.3,10,0,1
U,F,2.8,10,0,1
U,F,1.02,10,0,0
N,M,1.08,10,0,0
U,F,1.04,10,0,0
U,F,0.72,10,0,1
N,F,4.4,10,7,0
U,M,4,10,0,0
U,F,4,10,2,1
U,F,6,10,2,0
U,M,15,10,1,0
N,F,1.85,10,0,1
N,M,2.8,10,0,1
N,M,2.8,10,0,1
N,M,4.65,10,4,0
N,M,17.5,10,2,0
N,F,1.9,10,0,1
N,M,7.5,10,2,1
N,F,3.1,10,2,1
N,F,1.5,10,0,0
N,F,1.8,10,0,0
N,M,27,7,1,0
N,M,7,7,2,1
N,F,6,7,2,1
N,M,1,10,0,0
N,F,1,10,0,0
N,M,1,10,0,0
N,M,1,10,0,0
N,M,1,10,0,0
N,M,1,10,0,0
N,M,1,10,0,1
N,M,1,10,0,0
N,M,1,10,0,0
N,F,1,10,0,0
N,F,10,10,0,0
U,F,1,10,0,0
U,M,5,10,10,0
U,F,5,10,10,0
U,M,5,10,10,0
N,M,1.7,10,0,1
N,M,1.5,10,0,1
N,M,15,10,1,1
N,F,13,10,1,1
U,F,2,10,0,1
U,M,2,10,0,1
Y,M,7,10,3,0
N,M,2,10,0,0
N,M,7,10,2,0
N,M,25,10,1,1
N,M,8,10,3,0
N,F,1.2,10,0,1
N,M,4.2,10,0,0
N,F,6.63,10,1,1
N,M,4.6,10,0,1
N,M,5.3,10,2,1
N,F,32,10,4,1
N,F,1,9,0,0
N,F,1,9,0,0
N,M,1,9,0,0
N,M,1,9,0,0
N,F,1,9,0,0
N,M,1,9,0,0
N,F,1,9,0,0
U,F,9,10,0,0
U,M,4,10,0,1
N,M,1.5,10,0,0
N,F,1.6,10,0,0
N,F,1.5,10,0,0
N,M,7,10,5,0
N,F,2,10,0,1
N,M,3.5,10,0,1
N,F,18,10,1,1
N,M,2,9,0,1
U,M,0.8,9,0,1
U,F,0.8,9,0,1
U,F,3,9,1,1
U,M,3,7,2,0
U,F,3,10,0,0
U,F,4,10,5,0
N,M,6,9,0,1
N,M,1,10,0,1
N,M,1.5,10,0,1
N,F,0.3,9,0,0
N,M,3,10,2,0
N,M,2,10,0,1
N,F,2.8,10,0,0
U,M,4.5,10,5,0
N,M,2.4,7,0,1
N,M,2.5,7,0,1
N,F,1.9,7,0,1
N,F,1.6,7,0,1
N,F,1.7,7,0,1
U,F,5,10,1,1
Y,M,3,10,3,1
N,F,1.5,10,0,1
N,F,2.2,10,0,1
N,M,6,10,3,1
N,F,3.5,10,0,0
N,M,9.5,10,3,0
N,F,27,10,4,0
N,F,3.3,10,10,0
N,M,3.6,14,0,1
N,F,4.6,14,5,1
N,M,2.2,10,0,1
N,F,2.4,10,0,1
N,M,5.6,10,2,0
N,M,20,10,1,1
N,M,13,10,2,0
N,F,12,10,3,0
N,M,6,10,2,0
N,M,3.2,10,0,0
N,M,3.1,10,0,0
N,M,7.3,10,0,0
N,F,6.8,10,0,0
N,M,6.3,10,0,0
N,M,4.5,10,0,0
N,M,3.2,10,9,0
N,F,25,10,8,1
N,M,25,10,3,1
N,M,28,10,3,1
N,F,11,10,1,1
U,F,3,14,0,0
U,F,3,14,0,0
U,F,3,14,0,0
U,M,3,14,0,0
U,F,15,14,3,0
N,F,3.9,10,1,1
N,F,0.9,10,0,1
N,M,1.3,10,0,1
N,F,4.28,10,4,1
U,M,1.5,7,0,1
U,F,1.2,7,0,1
N,F,1.3,7,0,1
Y,M,2.8,10,0,1
N,F,6.5,10,0,1
U,F,2,10,0,1
U,M,13,10,0,0
U,F,15,10,3,0
U,F,7,10,8,1
N,F,2.2,10,0,0
U,F,3,10,1,0
N,M,5.74,10,0,0
N,F,6.95,10,0,0
N,F,7.85,10,1,1
N,M,7.1,10,2,0
N,M,5,10,9,1
N,M,1.92,10,0,1
N,F,4.36,10,1,0
N,M,8.01,10,1,0
N,F,1.5,11,0,1
N,F,1.5,11,0,1
N,F,1.5,11,0,1
U,M,5,12,0,1
U,F,8,10,2,0
N,M,2,10,2,1
N,M,32,10,3,1
N,F,32,10,1,1
N,M,15,10,1,1
N,F,15,10,1,1
N,M,25,10,1,1
N,M,1,10,0,1
N,M,3.5,10,2,1
N,M,3.5,10,3,1
N,F,3.5,10,2,1
N,M,3,10,2,1
N,M,3.5,10,0,1
N,M,4.5,10,2,0
N,M,1.5,10,0,0
N,M,3,10,3,1
N,M,2.5,10,0,0
N,M,4.5,10,0,0
N,M,2,10,8,1
U,F,4.2,10,5,1
U,F,3,10,1,1
U,F,3,10,4,1
U,M,4,10,4,1
Y,M,13,10,2,1
U,F,7.05,10,1,0
N,F,3.1,10,2,1
N,M,23,10,1,0
N,F,2.2,10,0,0
N,M,5.5,9,2,1
N,M,9,10,4,1
N,M,9.5,10,4,0
N,F,15,10,4,1
N,F,13,10,1,0
U,F,5,12,1,0
Y,M,5,12,7,1
U,F,3.1,10,0,1
N,F,6,10,3,1
N,F,20,12,3,0
U,M,5,12,0,1
N,M,7,12,2,0
N,F,15,12,2,0
N,F,4,14,1,0
Y,M,3,12,0,1
N,F,3,10,8,1
N,M,4,10,0,0
U,M,15,10,8,0
U,Q,16,10,4,0
N,F,14,10,3,0
N,M,9,10,3,0
N,M,2,10,0,1
U,M,17,10,2,1
N,M,3,10,2,1
N,M,3.5,10,0,1
U,F,3,7,2,0
N,F,5.5,10,4,0
U,F,3,10,2,1
U,F,30,10,3,1
N,M,7.6,10,0,0
U,F,2.2,10,0,0
N,M,4.4,10,6,0
Y,M,7.4,10,1,1
N,F,7.6,10,0,0
U,M,0.8,10,0,0
U,M,0.8,10,0,0
U,F,0.8,10,0,0
N,M,0.8,10,0,0
U,M,0.8,10,0,0
U,F,0.8,10,0,0
U,F,12,10,2,0
N,F,5.37,10,0,0
U,F,4,10,1,1
N,F,3,10,0,1
Y,M,5.1,10,5,0
U,M,20,10,1,0
Y,M,4.6,8,1,1
N,M,30,10,5,0
N,M,35,10,4,1
N,F,2.1,10,0,1
N,M,18,10,1,1
N,M,3,10,2,1
N,F,1.4,10,0,1
N,F,1.5,10,0,1
N,M,1.1,10,0,1
N,M,1.3,10,0,1
N,M,5.4,10,1,0
N,F,5,10,1,1
N,M,5.2,10,2,1
N,M,4.5,9,0,1
N,M,3,9,4,1
U,F,12,10,2,0
N,F,2,10,0,0
N,F,1,10,0,1
Y,M,4.6,10,8,1
N,M,4.8,9,2,1
N,M,6,10,3,0
N,M,3,10,6,1
N,F,6,10,5,0
N,F,5,10,3,0
N,M,25,10,2,1
N,F,4.5,14,3,0
N,M,1.5,14,0,0
N,F,3.5,14,6,0
N,F,1.8,14,0,0
N,M,5,12,3,0
N,F,10,12,2,0
N,F,3,10,3,1
N,M,2.3,10,2,1
N,F,2,10,0,1
N,F,2,10,0,1
N,F,2,10,0,1
U,M,10,10,2,1
U,M,3.5,10,2,1
N,M,0.8,10,0,0
N,M,0.8,10,0,0
N,M,0.8,10,0,0
N,M,7.5,10,1,0
N,F,12.5,10,0,0
N,F,1.4,10,0,0
N,F,0.8,10,0,0
N,F,0.8,10,0,0
N,F,0.8,10,0,0
N,F,0.8,10,0,0
N,F,17.5,10,2,0
N,M,4.1,10,0,0
N,F,3.2,10,0,0
N,F,6.9,10,0,0
N,F,6.7,10,0,0
N,M,15.4,10,0,1
U,F,4,10,0,0
U,F,5,10,0,0
U,M,4,10,7,1
N,M,4,7,1,1
N,F,5,7,0,1
U,M,4,10,3,0
N,F,10,10,3,0
N,F,5,10,0,0
N,F,10,10,1,1
N,F,4,10,0,0
N,M,4,10,0,0
N,F,4,10,2,0
U,F,5.3,10,0,1
U,F,4,10,0,1
U,F,3,10,0,1
N,F,0.4,10,0,1
N,M,0.7,10,0,1
N,M,0.5,10,0,1
U,M,3,7,2,1
U,M,3,7,2,1
N,M,5.2,10,3,0
U,Q,25,10,3,0
U,F,7,10,2,1
N,M,16.3,10,3,0
U,F,3.4,10,0,0
U,F,4,10,8,1
N,M,3.2,10,3,0
N,F,25,10,1,0
N,F,15,10,0,0
N,M,20,10,2,0
N,M,2.7,10,0,1
N,M,2.6,10,0,1
N,M,13,10,2,1
N,M,12.3,10,0,0
N,M,25,10,1,0
U,F,7.7,10,0,0
N,M,2.9,10,0,1
N,M,8.8,10,2,1
U,F,5,10,0,0
N,M,3.8,10,0,0
Y,M,3.8,10,1,1
U,F,5.1,10,0,0
N,F,3,10,0,0
U,M,4.5,10,10,0
N,F,3.3,10,5,1
U,F,3.4,10,4,0
Y,M,2.9,10,4,1
N,M,8.6,10,3,0
N,M,15,10,1,0
N,F,5,10,2,0
N,F,6,10,3,0
N,F,7,10,2,0
N,M,5,10,1,0
N,M,2,10,0,0
N,F,6,14,1,0
N,M,6,14,1,0
N,F,6,14,1,0
N,F,4,14,2,0
U,F,4.2,10,3,1
U,F,4.4,10,3,1
U,M,10,10,2,0
U,M,10,10,2,0
U,M,10,10,2,0
N,M,5,10,1,0
N,F,1.5,10,1,0
N,M,1.5,10,1,0
N,F,3.5,10,3,0
Y,M,10,7,8,0
N,M,20,10,1,0
Y,F,5,10,6,1
N,F,5,10,0,0
N,F,5,10,0,0
N,M,5,10,0,0
N,F,10,10,4,0
N,M,8,10,1,0
N,F,5,10,0,0
U,F,5,10,0,0
N,F,5,10,0,0
N,M,5,10,0,0
N,M,15,10,1,0
N,M,8,10,0,0
N,F,7,10,4,0
N,M,18.6,10,3,1
N,M,6,14,2,0
N,M,12,14,1,0
N,M,16,10,4,1
U,F,2.9,10,10,0
U,M,15,10,5,0
N,F,1,10,0,1
N,M,4,10,0,1
U,F,6,10,1,1
U,M,2,10,1,0
N,M,12,10,2,1
N,F,3,10,0,0
U,M,4.1,10,0,1
N,M,11.3,10,1,1
N,F,3.5,10,10,0
N,F,12,10,3,0
N,M,5,12,0,1
N,M,4.2,10,1,0
N,M,6.2,10,0,0
N,M,20,10,5,0
U,M,6,10,3,0
N,F,10,10,1,1
N,M,8.2,10,0,1
N,F,8.1,10,0,1
N,F,2.7,10,0,1
U,F,10.8,10,2,1
N,M,2.5,10,8,1
N,M,18,10,0,1
U,F,1.8,10,0,1
Y,M,6,10,3,1
Y,M,5,10,4,0
N,F,3,10,2,1
U,F,10,10,3,0
N,F,8,10,4,1
N,M,11,11,2,0
U,F,13,11,2,0
N,F,25,11,3,1
N,M,6,12,3,0
N,F,5,14,1,0
U,M,6,10,2,0
N,F,3.5,10,2,1
N,M,4.5,10,3,1
U,F,8,11,3,0
N,F,5,10,0,1
U,F,30,10,5,1
N,F,5,10,1,0
N,F,25,10,3,1
N,M,28,10,5,0
U,M,2.5,10,0,0
U,M,3,10,0,0
U,M,3,10,0,0
N,F,2.4,10,0,0
N,M,2.2,10,0,0
N,M,14.8,10,1,0
N,M,27.6,10,2,1
N,F,0.7,10,0,0
N,M,0.7,10,0,0
N,M,0.7,10,0,0
N,F,0.7,10,0,0
N,F,0.7,10,0,0
N,F,0.7,10,0,0
N,F,0.7,10,0,0
N,F,19.5,10,1,0
N,F,14,10,1,0
N,F,1.8,10,0,1
U,F,3.7,10,3,1
U,F,7,10,2,0
U,F,10,10,1,0
U,M,5,10,1,0
U,M,7,10,1,0
N,F,3,10,3,1
U,M,6,10,2,0
U,M,12,10,3,0
U,F,10,10,3,0
U,M,25,10,2,1
U,M,3.5,10,2,0
U,M,4.5,10,5,0
N,F,5.4,10,0,1
N,F,4.3,10,2,1
N,F,5.9,10,3,1
U,M,2.75,7,0,1
N,M,4,14,0,1
N,F,6,10,6,0
N,F,17.6,10,2,0
N,M,25,10,5,1
N,M,12,10,3,0
U,Q,10,10,0,0
U,F,5.9,10,5,1
U,F,2.6,10,0,0
U,F,2.6,10,0,0
U,F,3.9,10,1,0
N,M,25,10,3,0
U,F,40,10,8,0
U,F,37,10,7,0
N,F,3,10,0,0
U,F,4.8,10,0,0
U,F,20,10,1,0
N,M,4.2,10,0,0
N,M,4.3,10,0,0
N,M,9.6,10,2,0
Y,M,4.4,10,2,1
U,M,3,10,4,1
N,M,25,10,3,0
N,F,4,10,2,0
N,F,2,10,0,0
U,F,15,10,10,0
N,M,7.8,10,1,0
U,F,15,10,3,0
N,M,2,11,0,1
N,M,2.5,11,0,0
N,M,2.5,11,0,0
N,F,2,11,0,0
N,F,2.5,11,0,0
N,F,2,11,0,1
U,Q,4,11,2,0
U,Q,4,11,2,0
U,F,5,11,2,0
U,F,3.5,11,5,1
N,F,25,7,2,1
N,F,10,11,2,0
U,M,20,11,2,0
N,M,8,10,2,1
N,M,25,11,4,0
N,M,30,11,3,0
