neuterYn,sexCd,weight,noticeDays,age2,processState
N,F,2.6,10,1,1
N,M,3,9,1,1
N,F,8,9,1,1
Y,M,5,10,7,1
U,M,35,10,4,1
U,F,3,10,11,1
N,F,11.63,9,3,0
N,M,6.35,9,3,0
N,M,3.28,9,1,0
N,M,3.27,9,1,0
N,F,3.26,9,1,0
N,F,3.25,9,1,0
U,M,10,10,6,0
N,F,7.6,10,2,1
U,M,3.7,10,1,1
Y,M,3,10,7,1
N,M,2,10,1,1
Y,M,11.26,10,5,1
N,M,0.5,10,0,1
N,M,0.5,10,0,1
N,F,0.5,10,0,1
N,F,0.5,10,0,1
N,F,9,10,3,1
N,M,2.3,10,0,1
N,F,5,11,3,0
N,M,5,10,1,0
N,F,7,12,0,1
N,M,6.8,10,4,1
N,M,10,8,4,0
N,M,10,8,4,0
N,F,10,8,4,0
N,F,10,8,4,0
N,M,3,8,1,0
N,M,3,8,1,0
N,M,3,8,1,0
N,M,3,8,1,0
N,F,4,8,1,0
N,M,4,8,1,0
N,M,4,8,1,0
N,M,4,8,1,0
N,F,4,8,1,0
N,F,4,8,1,0
N,M,4,8,1,0
N,M,4,8,1,0
U,F,22,7,2,0
U,F,17,7,2,0
N,F,15,10,4,0
N,F,18,10,5,0
N,F,18,10,4,0
N,F,2.5,10,1,0
N,F,2.7,10,1,0
N,F,2.5,10,1,0
N,F,2.8,10,1,0
N,M,2.5,10,1,0
N,M,2.7,10,1,0
U,M,13,10,2,0
U,M,16,10,2,0
N,F,5.9,10,1,0
U,M,15,10,3,1
N,M,13,10,1,1
N,F,3.4,10,1,0
N,F,4.2,10,1,0
U,F,12.8,10,2,0
U,F,13.5,10,2,0
U,F,12,10,2,0
U,M,19,10,2,0
N,F,4.9,10,1,0
N,M,1.1,10,1,1
N,F,11.4,10,1,1
N,M,2.4,10,1,1
Y,M,17,10,9,1
U,F,0.9,10,1,1
U,M,1.6,10,1,1
U,F,1.2,10,1,1
U,M,2,10,1,1
U,F,5,10,3,1
U,F,5,10,3,1
U,F,3.5,10,2,1
U,F,5,10,4,1
U,M,3,10,6,1
N,F,10,10,3,0
N,F,12,10,4,0
U,F,5,10,1,1
U,F,8,10,1,0
U,F,10,10,4,0
N,F,18.45,10,4,0
N,M,6.75,10,4,0
N,F,6.02,10,6,0
N,F,9.45,10,6,0
N,F,2.8,10,4,0
N,F,8.9,10,4,0
N,F,3.3,10,8,0
N,M,2,10,1,1
N,M,27,9,8,1
U,F,10,10,2,0
U,F,2,10,1,0
U,F,1.4,10,1,0
U,F,1.4,10,1,0
U,F,1.3,10,1,0
U,F,9.2,10,6,0
N,M,18,10,2,0
N,M,9.1,10,3,0
U,F,22,10,6,1
N,M,8,10,5,0
U,F,0.1,10,1,0
U,M,0.1,10,1,0
U,F,7.4,10,3,0
U,F,4.8,10,2,0
U,F,6,10,1,0
U,F,9.8,10,2,1
N,F,2,10,4,1
N,M,3,10,1,0
U,F,5.3,10,1,0
N,M,5.4,10,1,0
N,F,18,10,4,0
N,M,20,10,3,0
N,M,4,10,1,1
N,M,4,10,1,1
N,M,4,10,1,0
N,M,4,10,1,0
N,M,4,10,1,1
N,F,4,10,1,1
N,M,4,10,1,0
N,F,4,10,1,0
N,F,6,10,3,0
N,F,5,10,1,0
N,F,5,10,2,0
N,M,6,10,3,0
N,M,4,10,1,0
N,M,4,10,1,0
N,F,4,10,1,0
N,F,2,14,1,0
N,F,2,14,1,0
N,F,4,14,3,0
N,M,2,14,1,0
N,M,2,14,1,0
N,F,2,14,1,0
N,F,2,14,1,0
N,M,4,14,4,1
N,M,6,14,3,0
N,F,1.5,10,1,1
N,F,1.6,10,1,1
U,F,10,7,5,1
N,M,25,7,6,1
N,M,3,10,1,0
N,F,3,10,1,0
N,F,7,10,1,0
N,M,7,10,3,1
U,F,5,10,7,1
N,M,8,10,2,1
N,M,4.3,10,1,1
N,F,3,10,6,1
N,M,3,10,6,1
U,M,3,10,4,1
U,M,3,10,4,0
U,M,5,10,2,0
N,F,6,10,5,0
N,M,2,10,1,0
U,F,6,10,7,0
U,F,6,10,8,0
N,M,18,7,3,0
N,F,13,7,2,1
N,M,5.9,7,1,0
N,M,5.3,7,5,0
N,F,5.6,7,5,0
N,F,15,10,2,0
Y,M,3,10,2,1
Y,M,7,10,1,1
U,F,4,10,1,1
N,M,4.5,10,3,1
N,M,6,10,1,1
Y,M,2.3,10,3,1
N,F,6,10,1,0
N,F,3,10,4,1
N,M,4.77,10,1,0
N,F,4.76,10,1,0
U,F,15,10,3,0
N,M,3,10,1,1
N,M,5.5,10,7,1
N,M,8.5,10,4,1
N,M,6,11,1,1
U,F,20,10,2,1
U,F,4,10,1,1
U,M,16,10,2,1
U,F,3.6,10,6,1
U,F,3.7,10,2,1
N,M,15,10,3,0
U,F,5.1,10,2,0
N,M,3.2,10,11,0
U,F,8,10,1,0
U,F,8,10,1,0
U,F,8.5,10,6,1
N,M,3,10,6,1
U,M,4,10,1,1
U,F,17,10,3,0
N,F,13.5,10,1,1
U,F,4.6,10,1,1
N,M,3.5,10,4,1
N,F,1,10,1,0
N,M,3.6,10,1,0
N,F,11.48,10,2,0
N,M,5,11,1,0
N,F,17,14,2,0
N,M,4,14,0,0
N,M,5,10,1,0
U,M,8,10,5,0
U,F,3,7,3,0
U,F,6,10,2,0
U,F,19.8,10,2,0
N,M,2,10,1,0
N,M,2.7,10,1,0
N,M,2.5,10,1,0
N,M,5.2,10,1,0
N,F,5.7,10,1,0
N,F,5.2,10,1,0
N,M,5.1,10,1,0
N,M,5.2,10,1,0
U,M,22,10,2,0
N,F,13,10,1,0
N,F,11,10,2,0
U,M,17,10,2,0
U,M,18,10,2,1
N,M,8.1,10,1,0
N,F,1.8,10,1,0
N,F,2.3,10,1,0
N,F,2.1,10,1,0
N,F,2.2,10,1,0
N,M,2,10,1,0
N,M,2.1,10,1,0
N,M,1.3,10,1,0
N,F,10.6,10,1,0
U,M,10,10,1,1
N,M,15,10,2,1
