kindNum,sexCd,weight,noticeDays,processState
114,F,5.57,10,0
72,F,4,10,0
72,F,2.5,10,0
72,F,2,10,1
114,M,0.5,10,1
72,F,4,10,0
72,F,4,10,0
72,F,4,10,0
128,M,6,10,1
128,F,3,10,0
128,F,3.5,10,1
89,M,4,10,0
114,M,4.5,10,1
114,M,4.45,10,1
18,M,5,10,1
128,F,4,11,0
128,F,6,11,0
114,M,10,10,0
69,M,40,14,1
114,M,1.5,12,1
114,M,7,10,0
114,F,5.2,7,1
122,M,25,10,1
54,M,30,10,1
114,M,3,7,0
114,M,3,7,0
114,F,3,7,0
114,M,3,7,0
50,F,5.2,10,1
50,F,12,10,1
114,M,4.8,10,0
67,F,7.6,10,0
54,M,18.4,10,1
67,F,6.9,10,0
67,F,15.3,10,0
38,F,6,10,1
124,M,5,10,0
124,F,9,10,0
114,M,2.5,10,1
34,M,15.5,10,0
128,F,3.3,10,0
114,Q,13,10,0
114,Q,12,10,0
114,M,10,10,1
114,M,2,10,0
126,M,18,9,1
114,M,7.27,9,0
114,M,18.75,9,0
114,M,11.36,9,0
124,M,8.1,10,1
114,F,5,10,1
89,M,5.3,10,1
114,M,4.2,10,1
114,F,12.48,10,0
114,F,8,7,0
114,M,8,10,0
72,M,2.5,10,1
114,M,15,7,0
108,F,12,10,1
114,F,4.2,10,1
114,F,3,10,0
26,F,14,10,1
69,M,24,10,1
