kindNum,neuterYn,sexCd,weight,noticeDays,age2,processState
128,N,M,0.8,10,0,1
114,N,M,5,10,1,0
12,N,F,5,10,13,0
17,N,M,5,10,3,0
114,N,M,15,10,7,0
114,N,M,15,10,7,0
72,N,M,3,11,1,1
13,U,F,8,12,3,1
128,N,F,4,12,2,0
72,N,F,4,9,3,1
128,U,F,8,10,3,1
101,N,F,4.6,10,3,1
67,N,F,21.2,10,2,0
114,U,F,2,10,0,1
114,U,M,2,10,0,0
114,U,F,17.5,10,3,0
114,U,F,3,11,0,1
114,U,M,4,11,0,1
128,N,M,4.84,11,2,1
114,N,M,9,12,4,0
114,N,F,0.5,12,0,1
114,N,F,0.5,12,0,1
114,N,M,2,12,0,1
114,N,F,3.3,7,1,0
13,N,M,11.2,7,4,1
114,N,F,1.6,7,0,0
114,N,F,2.2,7,0,0
114,N,M,1.9,7,0,0
114,U,F,3,12,3,0
114,U,F,1,12,1,0
114,U,M,1,12,1,0
114,U,F,3,12,3,0
114,U,M,3,12,4,0
44,N,M,11.5,12,10,0
128,U,F,3,12,1,0
128,U,F,3,12,3,0
114,Y,M,18,12,10,0
103,Y,M,25,12,5,0
128,N,M,5.9,12,3,0
114,N,M,7.5,12,1,0
114,N,M,12,10,0,0
114,N,M,23,10,2,0
114,N,F,2.8,10,0,0
114,N,M,7,10,0,0
114,N,F,7,10,0,0
114,N,M,3.5,10,0,0
114,N,F,2.8,10,0,0
114,N,M,2.6,10,0,0
114,N,M,5,10,0,1
114,N,F,3.4,10,0,0
114,N,F,16,10,3,0
114,N,F,10,10,1,0
114,N,M,2,10,0,0
114,N,F,2.3,10,0,0
114,N,F,2,10,0,0
114,N,M,2.6,10,0,0
114,N,M,2.3,10,0,0
114,N,F,17,10,2,0
146,N,M,45,10,5,0
114,N,F,1.6,10,0,0
114,N,M,1.7,10,0,0
114,N,M,1.9,10,0,0
114,N,M,5,10,2,1
72,N,F,2,10,2,1
114,N,M,2,10,0,0
72,N,M,5,10,3,0
114,U,F,12,10,8,1
128,N,F,10,10,2,1
13,N,M,8,10,4,1
67,N,M,26,10,4,1
128,N,M,6.3,10,7,0
54,U,M,12,10,1,1
114,N,M,4,10,0,0
114,U,F,4.1,10,0,0
128,U,F,6.2,10,10,0
114,U,F,1.7,10,0,0
114,N,F,6,10,0,0
128,N,M,2,10,2,0
114,U,M,10,10,1,0
128,U,M,5,10,3,0
114,N,F,2.9,10,0,1
114,N,F,2.2,10,0,1
114,N,M,3.1,10,0,1
114,N,M,2.3,10,0,1
114,N,M,2.3,10,0,1
114,N,M,2.2,10,0,1
